"","db","Released.Info","Actual","Open","High","Low","Close","CC_Delta","CL_Delta","HC_Delta"
"1","AiG Perf of Construction Index",2018-09-21 23:00:00,"51.8",1.1777,1.1803,1.1733,1.1749,NA,NA,NA
"2","AiG Perf of Construction Index",2018-09-20 23:00:00,"51.8",1.1673,1.1785,1.1669,1.1777,-27.9999999999991,-43.9999999999996,25.9999999999994
"3","AiG Perf of Construction Index",2018-09-19 23:00:00,"51.8",1.1667,1.1715,1.165,1.1673,104,-3.99999999999956,112.000000000001
"4","AiG Perf of Construction Index",2018-09-18 23:00:00,"51.8",1.1683,1.1724,1.1652,1.1667,5.99999999999934,-17.0000000000003,47.9999999999992
"5","AiG Perf of Construction Index",2018-09-17 23:00:00,"51.8",1.1623,1.1698,1.1618,1.1683,-15.9999999999982,-30.9999999999988,41.0000000000021
"6","AiG Perf of Construction Index",2018-09-14 23:00:00,"51.8",1.169,1.1722,1.1621,1.1625,57.9999999999981,-7.00000000000145,72.9999999999986
"7","AiG Perf of Construction Index",2018-09-13 23:00:00,"51.8",1.1626,1.1701,1.1609,1.169,-64.9999999999995,-69.0000000000013,31.9999999999987
"8","AiG Perf of Construction Index",2018-09-12 23:00:00,"51.8",1.1606,1.165,1.157,1.1626,63.9999999999996,-17.0000000000003,74.9999999999984
"9","AiG Perf of Construction Index",2018-09-11 23:00:00,"51.8",1.1594,1.1644,1.1566,1.1606,20,-36.0000000000005,43.9999999999996
"10","AiG Perf of Construction Index",2018-09-10 23:00:00,"51.8",1.156,1.1616,1.1526,1.1594,12.0000000000009,-27.9999999999991,50.0000000000012
"11","AiG Perf of Construction Index",2018-09-07 23:00:00,"51.8",1.1623,1.1649,1.1551,1.1553,40.9999999999999,-26.9999999999992,62.9999999999997
"12","AiG Perf of Construction Index",2018-09-06 23:00:00,"51.8",1.163,1.1659,1.1606,1.1623,-70.0000000000012,-72.000000000001,25.9999999999994
"13","AiG Perf of Construction Index",2018-09-05 23:00:00,"52",1.1582,1.164,1.1543,1.163,-6.99999999999923,-23.9999999999996,28.999999999999
"14","AiG Perf of Construction Index",2018-09-04 23:00:00,"52",1.1619,1.1621,1.153,1.1582,48.0000000000014,-38.9999999999979,58.0000000000003
"15","AiG Perf of Construction Index",2018-09-03 23:00:00,"52",1.1596,1.1628,1.1588,1.1619,-37.0000000000004,-88.9999999999991,1.99999999999978
"16","AiG Perf of Construction Index",2018-08-31 23:00:00,"52",1.1671,1.169,1.1585,1.1602,17.0000000000003,-13.9999999999985,26.0000000000016
"17","AiG Perf of Construction Index",2018-08-30 23:00:00,"52",1.1707,1.1718,1.1642,1.1671,-69.0000000000013,-85.9999999999994,19.0000000000001
"18","AiG Perf of Construction Index",2018-08-29 23:00:00,"52",1.1695,1.171,1.1652,1.1707,-36.0000000000005,-65.0000000000017,10.9999999999988
"19","AiG Perf of Construction Index",2018-08-28 23:00:00,"52",1.1678,1.1733,1.1663,1.1695,12.0000000000009,-42.9999999999997,15.0000000000006
"20","AiG Perf of Construction Index",2018-08-27 23:00:00,"52",1.1631,1.1694,1.1595,1.1678,17.0000000000003,-15.0000000000006,55.0000000000006
"21","AiG Perf of Construction Index",2018-08-24 23:00:00,"52",1.154,1.164,1.1535,1.1622,56.0000000000005,-26.9999999999992,72.000000000001
"22","AiG Perf of Construction Index",2018-08-23 23:00:00,"52",1.1597,1.16,1.153,1.154,81.9999999999999,-4.99999999999945,100
"23","AiG Perf of Construction Index",2018-08-22 23:00:00,"52",1.1571,1.1623,1.1553,1.1597,-57.0000000000004,-66.9999999999993,2.99999999999967
"24","AiG Perf of Construction Index",2018-08-21 23:00:00,"52",1.1482,1.1601,1.1481,1.1571,25.9999999999994,-18.0000000000002,52.0000000000009
"25","AiG Perf of Construction Index",2018-08-20 23:00:00,"52",1.144,1.1485,1.1394,1.1482,88.9999999999991,-1.00000000000211,118.999999999998
"26","AiG Perf of Construction Index",2018-08-17 23:00:00,"52",1.1377,1.1445,1.1367,1.1438,44.0000000000018,-43.9999999999996,47.0000000000015
"27","AiG Perf of Construction Index",2018-08-16 23:00:00,"52",1.1345,1.1409,1.1336,1.1377,60.9999999999999,-9.9999999999989,68.0000000000014
"28","AiG Perf of Construction Index",2018-08-15 23:00:00,"52",1.1344,1.1355,1.1301,1.1345,31.9999999999987,-9.00000000000123,63.9999999999996
"29","AiG Perf of Construction Index",2018-08-14 23:00:00,"52",1.141,1.1429,1.133,1.1344,0.99999999999989,-42.9999999999997,10.9999999999988
"30","AiG Perf of Construction Index",2018-08-13 23:00:00,"52",1.1388,1.1433,1.1365,1.141,-65.9999999999994,-80.0000000000001,19.0000000000001
"31","AiG Perf of Construction Index",2018-08-10 23:00:00,"52",1.1527,1.1536,1.1388,1.1413,-2.99999999999967,-47.9999999999992,20
"32","AiG Perf of Construction Index",2018-08-09 23:00:00,"52",1.161,1.1619,1.1526,1.1527,-114.000000000001,-139,8.99999999999901
"33","AiG Perf of Construction Index",2018-08-08 23:00:00,"52",1.1599,1.1628,1.1573,1.161,-82.9999999999997,-83.9999999999996,8.99999999999901
"34","AiG Perf of Construction Index",2018-08-07 23:00:00,"52",1.1554,1.1608,1.1551,1.1599,11.000000000001,-25.9999999999994,29.0000000000012
"35","AiG Perf of Construction Index",2018-08-06 23:00:00,"52",1.157,1.1574,1.153,1.1554,44.9999999999995,-2.99999999999967,54.0000000000007
"36","AiG Perf of Construction Index",2018-08-03 23:00:00,"50.6",1.1585,1.1611,1.156,1.1568,-14.0000000000007,-38.0000000000003,5.99999999999934
"37","AiG Perf of Construction Index",2018-08-02 23:00:00,"50.6",1.166,1.1668,1.1582,1.1585,-17.0000000000003,-25.0000000000017,25.9999999999994
"38","AiG Perf of Construction Index",2018-08-01 23:00:00,"50.6",1.1691,1.17,1.1657,1.166,-74.9999999999984,-78.0000000000003,8.00000000000134
"39","AiG Perf of Construction Index",2018-07-31 23:00:00,"50.6",1.1706,1.1746,1.1685,1.1691,-31.000000000001,-34.0000000000007,8.99999999999901
"40","AiG Perf of Construction Index",2018-07-30 23:00:00,"50.6",1.1659,1.1719,1.1648,1.1706,-15.0000000000006,-20.9999999999999,40
"41","AiG Perf of Construction Index",2018-07-27 23:00:00,"50.6",1.1643,1.1664,1.1621,1.1657,49.0000000000013,-8.99999999999901,61.9999999999998
"42","AiG Perf of Construction Index",2018-07-26 23:00:00,"50.6",1.1729,1.1744,1.164,1.1643,14.0000000000007,-21.9999999999998,21.0000000000021
"43","AiG Perf of Construction Index",2018-07-25 23:00:00,"50.6",1.1687,1.1739,1.1664,1.1729,-86.0000000000016,-89.0000000000013,15.0000000000006
"44","AiG Perf of Construction Index",2018-07-24 23:00:00,"50.6",1.1692,1.1717,1.1655,1.1687,41.9999999999998,-22.9999999999997,51.9999999999987
"45","AiG Perf of Construction Index",2018-07-23 23:00:00,"50.6",1.1727,1.175,1.1684,1.1692,-4.99999999999945,-37.0000000000004,24.9999999999995
"46","AiG Perf of Construction Index",2018-07-20 23:00:00,"50.6",1.1642,1.1739,1.1626,1.1724,-32.0000000000009,-40,25.9999999999994
"47","AiG Perf of Construction Index",2018-07-19 23:00:00,"50.6",1.1639,1.1678,1.1575,1.1642,82.0000000000021,-15.9999999999982,97.0000000000004
"48","AiG Perf of Construction Index",2018-07-18 23:00:00,"50.6",1.1661,1.1665,1.1602,1.1639,2.99999999999967,-63.9999999999996,39.0000000000001
"49","AiG Perf of Construction Index",2018-07-17 23:00:00,"50.6",1.1711,1.1745,1.165,1.1661,-21.9999999999998,-59.0000000000002,4.00000000000178
"50","AiG Perf of Construction Index",2018-07-16 23:00:00,"50.6",1.1676,1.1725,1.1676,1.1711,-50.0000000000012,-60.9999999999999,34.0000000000007
"51","AiG Perf of Construction Index",2018-07-13 23:00:00,"50.6",1.1671,1.1687,1.1613,1.1685,25.9999999999994,-9.00000000000123,40
"52","AiG Perf of Construction Index",2018-07-12 23:00:00,"50.6",1.1674,1.1696,1.165,1.1672,13.0000000000008,-59.0000000000002,15.0000000000006
"53","AiG Perf of Construction Index",2018-07-11 23:00:00,"50.6",1.1744,1.1758,1.1666,1.1674,-1.99999999999978,-23.9999999999996,21.9999999999998
"54","AiG Perf of Construction Index",2018-07-10 23:00:00,"50.6",1.1751,1.1763,1.169,1.1744,-70.0000000000012,-78.0000000000003,13.9999999999985
"55","AiG Perf of Construction Index",2018-07-09 23:00:00,"50.6",1.1748,1.1791,1.1733,1.1751,-6.99999999999923,-60.9999999999999,11.9999999999987
"56","AiG Perf of Construction Index",2018-07-06 23:00:00,"50.6",1.1691,1.1767,1.168,1.1746,4.99999999999945,-13.0000000000008,44.9999999999995
"57","AiG Perf of Construction Index",2018-07-05 23:00:00,"50.6",1.1657,1.172,1.165,1.1691,55.0000000000006,-11.000000000001,76.0000000000005
"58","AiG Perf of Construction Index",2018-07-04 23:00:00,"54",1.1658,1.1682,1.1631,1.1657,34.0000000000007,-6.99999999999923,62.9999999999997
"59","AiG Perf of Construction Index",2018-07-03 23:00:00,"54",1.1639,1.1673,1.1621,1.1658,-0.99999999999989,-26.9999999999992,23.9999999999996
"60","AiG Perf of Construction Index",2018-07-02 23:00:00,"54",1.165,1.1693,1.1591,1.1639,19.0000000000001,-18.0000000000002,34.0000000000007
"61","AiG Perf of Construction Index",2018-06-29 23:00:00,"54",1.1569,1.169,1.1558,1.1684,-45.0000000000017,-93.0000000000009,8.99999999999901
"62","AiG Perf of Construction Index",2018-06-28 23:00:00,"54",1.1554,1.16,1.1527,1.1569,115.000000000001,-11.000000000001,121
"63","AiG Perf of Construction Index",2018-06-27 23:00:00,"54",1.1648,1.1672,1.1541,1.1554,15.0000000000006,-26.9999999999992,45.9999999999994
"64","AiG Perf of Construction Index",2018-06-26 23:00:00,"54",1.1704,1.172,1.1635,1.1648,-94.0000000000008,-107.000000000002,23.9999999999996
"65","AiG Perf of Construction Index",2018-06-25 23:00:00,"54",1.1657,1.1713,1.1629,1.1704,-56.0000000000005,-69.0000000000013,15.9999999999982
"66","AiG Perf of Construction Index",2018-06-22 23:00:00,"54",1.1604,1.1675,1.1601,1.1651,53.0000000000008,-21.9999999999998,61.9999999999998
"67","AiG Perf of Construction Index",2018-06-21 23:00:00,"54",1.1572,1.1634,1.1509,1.1604,46.9999999999993,-3.00000000000189,70.9999999999988
"68","AiG Perf of Construction Index",2018-06-20 23:00:00,"54",1.159,1.16,1.1537,1.1572,32.0000000000009,-62.9999999999997,61.9999999999998
"69","AiG Perf of Construction Index",2018-06-19 23:00:00,"54",1.1623,1.1645,1.1531,1.159,-18.0000000000002,-53.0000000000008,9.9999999999989
"70","AiG Perf of Construction Index",2018-06-18 23:00:00,"54",1.161,1.1624,1.1565,1.1623,-33.0000000000008,-92.000000000001,21.9999999999998
"71","AiG Perf of Construction Index",2018-06-15 23:00:00,"54",1.1568,1.1627,1.1543,1.161,13.0000000000008,-44.9999999999995,14.0000000000007
"72","AiG Perf of Construction Index",2018-06-14 23:00:00,"54",1.1791,1.1851,1.1564,1.1568,41.9999999999998,-24.9999999999995,59.0000000000002
"73","AiG Perf of Construction Index",2018-06-13 23:00:00,"54",1.1745,1.1801,1.1726,1.1791,-223,-226.999999999999,60.0000000000001
"74","AiG Perf of Construction Index",2018-06-12 23:00:00,"54",1.1784,1.1809,1.1734,1.1745,45.9999999999994,-19.0000000000001,55.9999999999983
"75","AiG Perf of Construction Index",2018-06-11 23:00:00,"54",1.1765,1.1821,1.1755,1.1784,-38.9999999999979,-49.9999999999989,25.0000000000017
"76","AiG Perf of Construction Index",2018-06-08 23:00:00,"54",1.18,1.181,1.1727,1.1769,14.9999999999983,-14.0000000000007,51.9999999999987
"77","AiG Perf of Construction Index",2018-06-07 23:00:00,"54",1.1774,1.184,1.1773,1.18,-30.9999999999988,-72.9999999999986,10.0000000000011
"78","AiG Perf of Construction Index",2018-06-06 23:00:00,"54",1.1718,1.1796,1.1713,1.1774,25.9999999999994,-0.99999999999989,65.9999999999994
"79","AiG Perf of Construction Index",2018-06-05 23:00:00,"55.4",1.1699,1.1732,1.1653,1.1718,56.0000000000005,-4.99999999999945,78.0000000000003
"80","AiG Perf of Construction Index",2018-06-04 23:00:00,"55.4",1.1655,1.1745,1.1653,1.1699,19.0000000000001,-45.9999999999994,33.0000000000008
"81","AiG Perf of Construction Index",2018-06-01 23:00:00,"55.4",1.1693,1.1718,1.1617,1.1659,40,-5.99999999999934,86.0000000000016
"82","AiG Perf of Construction Index",2018-05-31 23:00:00,"55.4",1.1665,1.1724,1.1641,1.1693,-34.0000000000007,-76.0000000000005,24.9999999999995
"83","AiG Perf of Construction Index",2018-05-30 23:00:00,"55.4",1.154,1.1676,1.1519,1.1665,27.9999999999991,-24.0000000000018,59.0000000000002
"84","AiG Perf of Construction Index",2018-05-29 23:00:00,"55.4",1.1624,1.164,1.151,1.154,125.000000000002,-20.9999999999999,136.000000000001
"85","AiG Perf of Construction Index",2018-05-28 23:00:00,"55.4",1.1656,1.1728,1.1608,1.1625,-85.0000000000017,-115.000000000001,14.9999999999983
"86","AiG Perf of Construction Index",2018-05-25 23:00:00,"55.4",1.172,1.1734,1.1646,1.1651,-25.9999999999994,-42.9999999999997,77.0000000000004
"87","AiG Perf of Construction Index",2018-05-24 23:00:00,"55.4",1.1696,1.175,1.1691,1.172,-68.9999999999991,-73.9999999999985,14.0000000000007
"88","AiG Perf of Construction Index",2018-05-23 23:00:00,"55.4",1.1779,1.179,1.1676,1.1697,22.9999999999997,-5.99999999999934,53.0000000000008
"89","AiG Perf of Construction Index",2018-05-22 23:00:00,"55.4",1.1791,1.183,1.1757,1.1779,-81.9999999999999,-103,11.000000000001
"90","AiG Perf of Construction Index",2018-05-21 23:00:00,"55.4",1.1763,1.1796,1.1717,1.1791,-12.0000000000009,-34.0000000000007,39.0000000000001
"91","AiG Perf of Construction Index",2018-05-18 23:00:00,"55.4",1.1794,1.1822,1.175,1.1772,19.0000000000001,-55.0000000000006,23.9999999999996
"92","AiG Perf of Construction Index",2018-05-17 23:00:00,"55.4",1.1807,1.1838,1.1777,1.1795,-22.9999999999997,-44.9999999999995,26.9999999999992
"93","AiG Perf of Construction Index",2018-05-16 23:00:00,"55.4",1.1838,1.1854,1.1764,1.1808,-13.0000000000008,-31.000000000001,29.9999999999989
"94","AiG Perf of Construction Index",2018-05-15 23:00:00,"55.4",1.1927,1.1938,1.182,1.1838,-29.9999999999989,-74.0000000000007,16.0000000000005
"95","AiG Perf of Construction Index",2018-05-14 23:00:00,"55.4",1.1948,1.1996,1.1926,1.1927,-89.0000000000013,-107.000000000002,10.9999999999988
"96","AiG Perf of Construction Index",2018-05-11 23:00:00,"55.4",1.1915,1.1968,1.1891,1.1943,-15.9999999999982,-16.9999999999981,53.0000000000008
"97","AiG Perf of Construction Index",2018-05-10 23:00:00,"55.4",1.1851,1.1946,1.1843,1.1915,27.9999999999991,-23.9999999999996,53.0000000000008
